speaker,utterance,start_time,end_time
A,Okay.,5.57,5.94
A,Does anyone want to see uh Steve's feedback from the specification?,11.09,15.53
D,I I dry-read it the last Right.,17.08,19.26
D,time.,19.41,19.61
D,.,19.61,19.61
A,"Not really , um just what he's talking about like , duplication of effort and Like duplication of effort and stuff , and um yeah , he was saying that we should maybe uh think about having a prototype for week six which , is next Next week week.",21.41,39.41
A,Yeah.,39.62,39.62
A,.,40.05,40.05
A,So we should probably prioritize our packages.,42.24,47.46
A,Mm.,56.64,56.89
B,Yeah.,78.81,79.13
A,Yeah.,80.02,80.38
B,"Yeah I , mean if we just want to have um some data for the user face could , even be random data Yeah.",84.38,94.23
B,Uh.,94.32,94.32
B,"mm mm Yeah I'm , Yeah.",94.45,110.22
A,Yeah.,121.94,122.14
A,Hmm.,155.48,156.35
A,"Has has anyone actually looked at the Java code for No the , huh.",156.35,160.72
A,?,161.4,161.4
A,Hmm.,161.4,161.69
A,"Yeah I , think so.",186.8,187.52
C,The basic word importance is off-line as well The.,211.33,214.42
C,combined measure might not be if we want to wait what the user has typed in into the search.,215.16,220.58
D,Uh mine's gonna be mostly using the off-line.,222.11,225.38
D,But the actual stuff it's doing will be on-line But.,225.38,227.28
D,"it won't be very um processor intensive or memory intensive I , don't think.",227.38,232.21
A,"Yeah , I I don't know about Hmm the search.",252.27,253.5
A,"functionality , that might be online Depends.",253.72,256.38
A,how it's gonna work.,256.77,257.5
A,Yeah.,265.84,266.2
D,Don't think so.,294.86,295.53
D,Yeah.,297.33,297.64
D,Are we still gonna go for dumping it into a database?,310.94,313.59
D,Are we still gonna dump it into a database?,313.59,315.6
D,"'Cause if we are , I reckon we should all read our classes out of the database.",320.21,324.05
D,It'll be so much easier.,324.05,325.29
D,"Well if we're gonna dump the part of it into a database anyway we , might as well dump all the fields we want into the database , calculate everything from there.",326.69,336.18
D,Then we don't even have to worry that much about the underlying X_M_L_ representation We.,336.18,341.1
D,can just query it.,341.16,342.02
D,"Well if we're gonna do that we , should try and store everything in in an X_M_L_ format as well.",393.66,398.87
D,Yeah.,401.19,401.52
B,Yes.,406.39,406.85
D,Yeah.,408.25,408.56
A,Mm-hmm.,460.98,461.22
B,Hmm yes.,461.27,461.69
B,Hmm.,474.82,475.0
A,"Yeah , that makes sense.",479.62,480.4
D,"Well we don't even need to I'm do that not 'cause , so if we sure got.",494.53,496.47
D,"our information density calculated off-line , so all we do is treat the whole lot as one massive document I.",496.61,502.47
D,mean they'll it's not gonna be so big that we can't load in a information density for every utterance And.,502.55,509.12
D,we can just summarise based on that.,509.23,510.79
B,I I thought we would just have like um one big summary um with all the uh different importance levels um displayed on it.,511.55,522.34
B,"And depending on what our um zoom level is , we just display a part of it.",522.34,528.45
B,And we would have one very big thing off-line And.,531.82,535.94
B,from that we would just select what we are displaying.,536.13,538.59
B,Yes.,542.04,542.85
B,So for example you would um give a high value to those um sequences you want to display in the meeting series summary And.,542.85,552.76
B,you just cut off.,552.91,554.08
B,"That was what I sh I thought I yeah , think you.",566.07,568.37
B,I can thought do it on-line.,568.37,569.03
D,.,569.25,569.25
A,Hmm.,578.29,578.58
D,I don't think there's really much point in doing like that when it's just gonna feed off in the end the information density measure basically And.,578.92,587.16
D,that's all calculated off-line So.,587.34,588.85
D,"what you're really doing is sorting a list , is the p computationally hard part of it.",589.05,594.58
D,"Well like the ideas we're calculating are information density all off-line first for every utterance in the whole corpus right ,?",598.84,606.9
D,"So what you do is you say if you're looking at a series of meetings , you just say well our whole document comprises of all these stuck together And.",606.9,614.97
D,then all you have to do is sort them by j information density Like.,615.18,620.18
D,"maybe weighted with the search terms and , then extract them I.",620.33,623.82
D,"don't think it's too slow to do on-line to , be honest.",623.88,627.46
D,Is that But I think the m difference might be that we want just want to have um the words.,639.26,645.18
B,And that's not so much what he meant with not possibly loading everything was that you m um load all the uh Yeah annotation.,645.18,654.76
B,"stuff , all Hmm.",655.09,655.68
B,"the sound files , all Well on , the utterance level I was thinking So.",655.69,688.29
D,the utterances with the highest like mean information density In.,688.45,692.54
D,"Well the trouble with doing it on the word level is if you want the audio to synch up you've , got no way of getting in and extracting just that word I.",695.7,702.38
D,mean it's impossible.,702.44,703.25
D,For every single word Yeah.,705.89,707.48
D,?,707.82,707.82
D,"Oh , okay.",707.82,708.38
D,Yeah.,710.24,710.5
D,I don't think that will do it We'll.,713.95,715.49
D,have Um to buffer it.,715.63,716.4
B,I r I I'm getting quite lost um at the moment because um w what's um our difference between the um se um uh the importance measure and the skimming I?,717.46,730.59
B,"mean , do we do both or is it the same thing?",730.68,733.42
D,Well the skimming's gonna use the importance.,734.08,736.26
B,Okay.,737.24,737.63
D,But like at So first but it's when just when gonna we be I_D_F_ talk about.,738.45,740.84
B,"summaries you talk about this uh abo about skimming and not about Well mostly skimming yeah ,.",741.41,746.3
B,Yeah.,762.51,762.79
B,"Yeah right , isn't that the skimming Isn't?",766.8,768.99
B,that the skimming?,769.32,770.06
B,"Yeah but , it use the same data.",774.27,775.88
D,Yeah.,777.43,777.74
D,Well the nice thing about that is it will automatically be in sentences.,792.21,795.63
D,Well more or less So.,795.63,797.85
D,"it will make more sense , and if you get just extract words.",798.06,800.46
C,"I'm not quite so what it did you want to do it , i you just wanted to assign Uh I thought about words.",811.59,824.36
C,Mm.,833.96,834.38
B,Yeah.,842.15,842.69
B,A Yeah.,844.33,846.84
B,"And Mm okay , yeah.",855.29,856.12
B,"I , think we also thought about combining that measure with um the measures I get from um s uh hot-spots and so on.",856.13,865.49
B,"So that would also be on utterance level , I think I.",865.49,870.09
B,think I see.,870.22,870.67
D,it.,870.75,870.88
D,But it'll need to be calculated at word level though because otherwise there won't be enough occurrences of the terms to make any meaningful sense.,872.5,880.42
D,Yeah.,884.15,884.44
D,"Yeah , I reckon you can just mean Yeah it over the sentence but , how.",889.74,892.28
C,"about those words which don't carry any meaning at all the , um and uhs and something like that.",892.34,898.75
C,Because if we I think if we should we filter average them.,901.3,903.35
C,"average over over a whole utterance all the words , and there are quite unimportant words in there , but quite important words as well , I think we should just disregard the the Maybe we should have like um a cut-off.",903.58,919.99
D,So it a w word only gets a value if it's above a certain threshold.,919.99,925.27
D,So Okay anything.,925.27,925.95
D,that has less than say nought point five importance gets assigned to zero.,926.02,930.49
C,Alright.,931.05,931.28
D,"Yeah that's , the other th Yeah.",933.33,939.84
D,I think we'll have to buffer the audio But.,958.21,959.98
D,I don't think it will be very hard.,960.46,961.67
D,I think it would be like an hour or two's work.,961.67,963.48
D,Like just build an another f wave file essentially.,966.3,970.45
A,"Yeah you , just concatenate Yeah them together , I mean.",970.6,972.37
D,"I bet there would be packages In memory , yeah.",972.44,977.66
D,So just like unp there's bound to be like a media wave object or something like that And.,977.66,982.5
D,just build one in memory.,982.62,983.99
D,I don't know.,987.31,987.77
D,I have no idea But.,987.77,989.44
D,it must have like classes for dealing with files.,989.53,992.97
D,"And if it has classes for concatenating files , you can do it in memory.",992.97,997.21
D,"So Well what I think I might try and build is basically a class that you just feed it a linked list of um different wave-forms , and it will just string them all together with maybe , I don't know tenth , of a second silence in between each one or something like that.",997.21,1032.62
D,"Normalise it , yeah.",1041.16,1042.28
D,"Oh yeah Yes , yeah , we'll need , sure that.",1072.83,1074.05
D,.,1074.15,1074.15
D,We also really wanna be able to search by who's speaking as well.,1076.21,1079.11
D,"It doesn't matter 'cause , all the calculation's done off-line.",1092.42,1095.29
A,Hmm.,1105.95,1106.27
B,Yes Yeah.,1131.12,1131.48
A,.,1131.77,1131.77
A,It just means it loads on demand.,1134.46,1136.26
A,It only loads when it needs a particular type of file.,1136.26,1141.09
A,Like when it's being accessed.,1141.09,1142.22
A,"Yeah , I think that's the idea , it just loads the particular ones it needs.",1160.76,1164.37
A,But if you were doing a search over the whole corpus you'd have to load them all.,1167.5,1170.23
B,"Yes , right.",1175.4,1176.2
A,Hmm.,1179.19,1179.47
B,"Oops , it does.",1180.82,1181.3
B,So I define baseline and what it loads?,1181.3,1184.41
B,"For example it loads all the utterances and so on but , it doesn't load um the discourse acts and for example not the and what's what else there?",1184.41,1197.76
B,Not the summaries.,1197.76,1199.95
B,It only loads those on demand.,1199.95,1201.72
B,Y you mean that you um basically split up th the big thing into um different summaries.,1255.01,1262.59
B,For example that you have a very um top-level um summary and a separate file for for each level.,1262.59,1273.09
D,That's easy You.,1278.34,1278.92
D,just like create a new X_M_L_ document in memory.,1279.02,1282.49
B,Mm-hmm.,1302.56,1302.84
A,Mm.,1322.74,1322.88
D,"I don't think it's really that much of a problem because if it's too big , what we can do is just well all the off-line stuff doesn't really matter And.",1336.18,1343.51
D,all we can do is just process a bit at a time.,1343.67,1346.73
D,"Like for summarisation , say we wanted a hundred utterances in the summary just , look at the meeting , take the top one hundred utterances in each other meeting.",1346.73,1355.32
D,"If it scores higher than the ones already in the summary so far just , replace them And.",1355.32,1360.99
D,then you only have to process one meeting at a time.,1361.12,1363.09
D,"Okay , so maybe we should build a b store a mean measure for the segments and meetings as well?",1383.44,1390.72
D,And speaker.,1422.98,1425.0
D,Speaker and um topic segmenting we'll need as well.,1425.0,1430.72
D,Yeah.,1432.89,1433.22
D,"Well yeah , and then it'll f preserve the order when it's displayed the Yeah.",1448.4,1455.0
D,Yeah.,1457.08,1457.75
D,"Yeah I , think so.",1466.26,1467.11
A,Hmm.,1490.28,1490.49
A,"Yeah , we do not want it in to develop a little tree display as well for multiple results.",1491.68,1495.21
A,"Yeah , but that'd be quite easy to do.",1497.04,1498.64
A,You just need to find the time stamp.,1503.52,1504.9
A,Yeah.,1510.24,1510.64
A,Yeah.,1549.12,1549.4
D,"So we should basically make our own X_M_L_ document in memory that everyone's um module changes that , rather than the underlying data.",1557.56,1571.62
D,And then have that X_M_L_ uh NITE X_M_L_ document tied to the interface.,1571.62,1576.5
D,"Well , you can make it in a file if you want.",1579.86,1581.69
D,Mm-hmm.,1603.4,1603.72
C,Yeah Yes.,1604.0,1604.72
C,.,1605.26,1605.26
C,But there is no I_D_ for an utterance I think It's.,1620.71,1622.92
C,just for individual words So.,1623.17,1625.41
C,how do we do that then N Uh?,1625.68,1628.02
C,"We no no , it's f for for utterances as well.",1628.02,1630.92
B,"No you're , right Yeah.",1632.56,1633.29
C,I think it's It's.,1633.84,1634.11
C,"just for for one word Yeah , I think So.",1634.42,1639.22
C,we I think have those to segments for each utterance are split up.,1639.55,1642.96
C,Yeah.,1643.27,1643.62
A,Think so.,1644.2,1644.62
A,"Yeah , I'm pretty sure it's already there.",1663.46,1665.4
A,Pretty sure that's already there.,1665.4,1666.38
A,The the utterances are numbered.,1666.38,1668.93
B,"Um Uh I'm not quite sure I , have only seen that the uh the individual words have got an I_D_.",1674.56,1680.0
C,Yeah.,1683.32,1683.96
C,You always could have a look at the time stamps and then take the ones that uh belong together to form an utterance.,1683.96,1692.41
B,"No , I I think we would just take the segments that are already Yeah if , they that are were already , there's it's Yeah easy , there's but it um would this segments be possible file.",1693.8,1701.81
B,Um.,1702.75,1702.75
B,"you know , the Uh X_M_L_ segments yeah.",1703.02,1704.42
A,Hmm.,1704.79,1704.9
C,Okay.,1704.9,1705.05
C,.,1705.23,1705.23
