speaker,utterance,start_time,end_time
CHI,he wan an explorer,0.0,1.033
CHI,and he discovered America,1.033,3.4
CHI,and he went for the king and queen of Spain.,3.4,7.983
INV,tell me what you know about the Pilgrims.,16.161,20.777
CHI,well they moved from England and came to America to Plymouth_Rock,20.777,28.711
CHI,and it was hard for them at first when they came,28.711,34.261
CHI,and a_lot_of them died and stuff,34.261,37.444
CHI,and the Indians,37.444,40.0
CHI,they met the Indians and they came along and helped them,40.0,43.016
CHI,and that was how the first Thanksgiving started.,43.016,46.4
INV,can you tell me anything else about the Pilgrims.,46.4,50.516
CHI,they moved from England because of,50.516,60.782
CHI,the king he wasn't treating them right,60.782,66.666
CHI,and they couldn't have what they,66.666,70.3
CHI,they had to worship what he wanted to worship and do what he wanted to do,70.3,74.932
CHI,and they didn't like that so they moved.,74.932,77.715
INV,can you tell me anything else,77.715,79.315
INV,okay great,79.315,81.382
INV,tell me everything you know about George_Washington.,81.382,85.082
CHI,he was the first president,85.082,87.815
CHI,he was,87.815,103.298
CHI,well he,103.298,114.7
CHI,I'm trying to,114.7,119.6
CHI,well he fought in the Civil_War,119.6,122.948
CHI,he was a general in the Civil_War,122.948,127.898
CHI,and chopped down his father's cherry tree when he was a little boy,127.898,140.814
CHI,he,140.814,155.2
CHI,that's it.,155.2,156.133
INV,okay,156.133,156.866
INV,now you can tell me everything,156.866,160.516
INV,even if you're not sure tell me anyway okay,160.516,162.516
INV,can you tell me anything else about George_Washington,162.516,165.182
INV,even if you're not sure,165.182,166.849
INV,it's okay.,167.5,168.35
CHI,unhunh,188.765,189.865
CHI,unhunh.,189.865,196.298
INV,can't think of anything,195.555,196.855
INV,okay good,196.855,198.232
INV,now tell me everything you know about the Declaration_of_Independence.,198.232,202.732
CHI,the Declaration,202.732,204.9
CHI,it was written in I think seventeen seventy six,204.9,209.098
CHI,it was written by Thomas_Jefferson,209.098,214.064
CHI,they wrote it because they needed a set of rules when they broke free from Britain,214.064,231.531
CHI,and it,231.531,253.7
CHI,oh lots of delegates from the thirteen colonies came,253.7,260.766
CHI,and they held a meeting that lasted for a long time to talk about it.,260.766,266.416
INV,can you tell me anything else about it.,266.416,273.032
CHI,they,273.032,273.432
CHI,they held the meeting to talk about the Declaration_of_Independence in Philadelphia,275.082,279.215
CHI,that's it.,279.215,282.665
INV,nothing else.,282.665,283.598
CHI,unhunh.,283.598,284.348
INV,okay,284.348,284.914
INV,tell me everything you know about Benjamin_Franklin.,284.914,288.048
CHI,he was an inventor,288.048,292.081
CHI,he was one of the delegates who,292.081,297.7
CHI,he was the first to sign the Declaration of Independence,297.7,301.431
CHI,he invented bifocals,301.431,311.281
CHI,and he found out about electricity.,311.281,322.431
INV,anything else.,322.431,332.947
CHI,unhunh.,332.947,333.764
INV,mkay,333.764,334.747
INV,even if you're not sure,334.747,335.764
INV,anything else at all.,335.764,336.481
CHI,unhunh.,336.481,342.564
INV,okay,342.564,343.03
INV,tell me everything you know about Abraham_Lincoln.,343.03,346.38
CHI,he was the sixteenth president,346.38,348.63
CHI,he was known as Honest_Abe,348.63,362.98
CHI,he was a lawyer before he became the president,362.98,370.046
CHI,when he was a little boy he lived in a log cabin,370.046,374.53
CHI,he taught himself to read,374.53,376.53
CHI,he signed the Emancipation_Proclamation.,376.53,396.646
INV,anything else.,396.646,403.996
CHI,unhunh.,403.996,406.296
INV,mkay,406.296,407.48
INV,tell me everything you know about the Civil_War.,407.48,410.513
CHI,Civil_War was fought between the north and the south,410.513,415.613
CHI,it was about slavery,415.613,418.513
CHI,and they had the Confederates and the Rebel or something,418.513,444.696
CHI,I forgot what the other side.,444.696,446.246
INV,what was,445.946,448.629
INV,did you say Rebels,449.2,450.4
INV,okay,450.4,451.066
INV,what else.,451.066,451.916
CHI,that's it.,451.916,467.166
INV,okay nothing else about the Civil_War.,467.166,469.549
CHI,unhunh.,468.6,469.166
INV,okay tell me everything you know about the Constitution of the United_States.,469.549,473.832
CHI,Constitution,473.832,478.249
CHI,it was written,478.249,490.815
CHI,it was laws,490.815,491.932
CHI,it was a set of laws that,491.932,494.847
CHI,well it's written,494.847,496.365
CHI,and it was written for,496.365,534.7
CHI,it had amendments in it,534.7,539.348
CHI,and.,539.348,549.014
INV,anything else.,549.014,549.881
CHI,the Bill_of_Rights was added to it.,549.881,552.698
INV,mhm,552.698,554.081
INV,anything else.,554.081,572.381
CHI,trying to think.,572.381,575.264
INV,okay.,574.198,574.931
CHI,that's it.,575.264,585.064
INV,okay that's it,585.064,585.98
INV,okay,585.98,586.63
INV,tell me everything you know about John_F_Kennedy.,586.63,590.33
CHI,he got assassinated,590.33,593.414
CHI,he was the president,593.414,604.08
CHI,that's it.,604.08,618.28
INV,nothing else,618.28,618.947
INV,okay tell me everything you know about the atomic bomb.,618.947,623.697
CHI,a weapon.,623.697,677.647
INV,mhm.,677.647,678.33
CHI,used in war.,678.33,679.93
INV,even if you're not sure.,679.93,684.23
CHI,I can't,684.23,689.43
CHI,they used it a_lot in World_War_One,689.43,692.73
CHI,that's it.,692.73,700.68
INV,that's it,700.68,701.13
INV,okay,701.13,701.53
INV,tell me everything you know about the Industrial_Revolution.,701.53,705.246
CHI,well that's when the cotton gin was made.,705.246,714.079
INV,okay.,714.079,716.562
CHI,and a_lot_of other things were invented,716.562,726.0
CHI,a_lot_of things were invented at that time,726.0,728.846
CHI,and it,728.846,741.2
CHI,that's it.,741.2,741.783
INV,okay,741.783,742.149
INV,hold this closer to your mouth because you're talking so soft,742.149,744.849
INV,tell me everything you know about Martin_Luther_King_Junior.,744.849,748.983
CHI,he was a civil rights leader,748.983,751.633
CHI,he led,751.633,761.345
CHI,he write the famous I_Have_A_Dream speech,761.345,764.511
CHI,he died on April fourth,764.511,770.545
CHI,no,770.545,771.411
CHI,yeah,771.411,771.895
CHI,I think,771.895,772.578
CHI,and at the Lorraine_Motel,772.578,776.161
CHI,he,776.161,787.411
CHI,I'm trying to,787.411,788.427
CHI,I know a_lot about him,788.427,789.555
CHI,I'm trying to,789.555,790.527
CHI,see see,790.527,793.043
CHI,when he was a little boy he lived a pretty good life,793.043,811.093
CHI,and he fought with peace not violence,811.093,825.726
CHI,he was a reverend,825.726,834.359
CHI,he lived in Montgomery_Alabama,834.359,838.759
CHI,he had,838.759,854.059
CHI,his wife was named Coretta,854.059,855.959
CHI,he had four children I think,855.959,866.775
CHI,he did many famous speeches,866.775,880.325
